Author ID,EID,Full Name,Surname,Given Name,Affiliation Name,Affiliation ID,Citation Count,Cited By Count,H-Index,Document Count,Subject Areas,Coauthor Count,Publication Start Year,Publication End Year
7202692723,9-s2.0-7202692723,Reed A.,Reed,Americus,"Wharton School of the University of Pennsylvania, Department of Marketing",113044251,6410,4575,25,45,,43,1998,2024
57205769380,9-s2.0-57205769380,Goenka S.,Goenka,Shreyans,"Virginia Tech, Pamplin College of Business",60019299,118,109,3,9,,19,2019,2024
55472024400,9-s2.0-55472024400,Thomas M.,Thomas,Manoj,Cornell SC Johnson College of Business,60116635,1189,990,15,27,,31,2005,2024
57219558591,9-s2.0-57219558591,Ramos G.,Ramos,Guilherme A.,Owen Graduate School of Management,60116489,35,34,2,5,,12,2020,2024
58809888400,9-s2.0-58809888400,Johnson W.,Johnson,Wayne,"David Eccles School of Business, Management Department",124107240,4,4,2,2,,4,2024,2024
55192293500,9-s2.0-55192293500,VanEpps E.,VanEpps,Eric M.,Owen Graduate School of Management,60116489,1519,1452,14,24,,46,2012,2024
32667712200,9-s2.0-32667712200,Graham J.,Graham,Jesse,David Eccles School of Business,60136292,19177,13590,38,91,,643,2007,2024
57217589996,9-s2.0-57217589996,Tomaino G.,Tomaino,Geoff,"Warrington College of Business, Department of Marketing",123903070,44,41,3,7,,14,2020,2023
57200033255,9-s2.0-57200033255,Walters D.,Walters,Daniel J.,Institut Européen d’Administration des Affaires,116837274,122,119,5,10,,15,2012,2024
56490067100,9-s2.0-56490067100,De Freitas J.,De Freitas,Julian,"Harvard Business School, Marketing Unit",104002059,680,501,14,34,,52,2012,2024
57894840300,9-s2.0-57894840300,Uğuralp A.,Uğuralp,Ahmet Kaan,"Bilkent Üniversitesi, Department of Computer Science",106019540,12,12,2,3,,16,2023,2024
58555825400,9-s2.0-58555825400,Oğuz-Uğuralp Z.,Oğuz-Uğuralp,Zeliha,Bilkent Üniversitesi,60014808,12,12,2,3,,16,2023,2024
16481201000,9-s2.0-16481201000,Puntoni S.,Puntoni,Stefano,Wharton School of the University of Pennsylvania,60022452,2097,1826,18,50,,77,2007,2024
58696676200,9-s2.0-58696676200,YoungJin Chun L.,YoungJin Chun,Libby,"Rotterdam School of Management, Erasmus University",60070152,1,1,1,1,,2,2023,2023
43261350000,9-s2.0-43261350000,Lembregts C.,Lembregts,Christophe,"Rotterdam School of Management, Erasmus University",60070152,232,167,6,11,,11,2011,2024
57514189500,9-s2.0-57514189500,van den Bergh B.,van den Bergh,Bram,"Rotterdam School of Management, Erasmus University",60070152,2182,2117,13,20,,35,2006,2023
57203908140,9-s2.0-57203908140,Kovacheva A.,Kovacheva,Aleksandra,State University of New York Albany,60011666,59,54,5,10,,212,2018,2024
56051014900,9-s2.0-56051014900,Wiener H.,Wiener,Hillary J.D.,State University of New York Albany,60011666,177,174,5,11,,14,2014,2023
55536208500,9-s2.0-55536208500,Li T.,Li,Tianyi,University of Illinois at Chicago,60027561,191,150,8,14,,20,2013,2023
36650570900,9-s2.0-36650570900,Gal D.,Gal,David,"University of Illinois at Chicago, Department of Marketing",104399123,2409,2306,18,36,,28,2010,2024
58497569800,9-s2.0-58497569800,Oba D.,Oba,Demi,Fuqua School of Business,60116608,6,6,1,1,,1,2023,2023
22833662100,9-s2.0-22833662100,Berger J.,Berger,Jonah A.,Wharton School of the University of Pennsylvania,60022452,10058,7647,38,84,,112,2005,2024
57212181823,9-s2.0-57212181823,Xu X.,Xu,Xiaobing,"Hainan University, Management School",107989523,215,212,8,16,,212,2017,2023
57215969543,9-s2.0-57215969543,Jia M.,Jia,Miaolei,"Warwick Business School, Marketing Group",122190336,62,62,4,4,,8,2020,2023
36971161200,9-s2.0-36971161200,Chen R.,Chen,Rong,Tsinghua University School of Economics and Management,60122853,571,558,13,51,,42,2003,2024
57221976772,9-s2.0-57221976772,Nguyen P.,Nguyen,Peter,Miami University,60032706,21,21,2,3,,7,2021,2023
57206604878,9-s2.0-57206604878,Wang X.,Wang,Xin,"Virginia Tech, Pamplin College of Business",60019299,160,153,6,11,,20,2015,2024
57891464600,9-s2.0-57891464600,Kermani M.,Kermani,M. Saeid,Trent University,60031024,1,1,1,2,,3,2022,2023
26665642300,9-s2.0-26665642300,Noseworthy T.,Noseworthy,Theodore J.,"York University, Department of Marketing",112838810,1132,970,18,30,,30,2009,2024
7006973772,9-s2.0-7006973772,Darke P.,Darke,Peter R.,Schulich School of Business,60119111,2514,2245,23,43,,42,1993,2023
7103292398,9-s2.0-7103292398,Krishna A.,Krishna,Aradhna,"University of Michigan, Ann Arbor",60025778,6701,4809,41,100,,95,1992,2024
57189367543,9-s2.0-57189367543,Luangrath A.,Luangrath,Andrea Webb,University of Iowa,60024324,617,558,8,12,,20,2013,2024
35610239400,9-s2.0-35610239400,Peck J.,Peck,Joann,University of Wisconsin-Madison,60032179,5560,4207,23,47,,44,2001,2024
7004858277,9-s2.0-7004858277,Bettman J.,Bettman,James R.,Duke University,60008724,11417,9584,36,65,,117,1971,2023
35601537200,9-s2.0-35601537200,Luce M.,Luce,Mary Ffrances,Duke University,60008724,5089,4356,29,51,,70,1993,2023
55559676100,9-s2.0-55559676100,Jha S.,Jha,Subhash,"University of Memphis, Department of Marketing and Supply Chain Management",104447743,885,859,19,35,,43,2011,2024
7202059645,9-s2.0-7202059645,Biswas A.,Biswas,Abhijit,Wayne State University,60009408,2919,2611,28,60,,48,1992,2024
55861278000,9-s2.0-55861278000,Guha A.,Guha,Abhijit,"Darla Moore School of Business, Department of Marketing",124155770,1533,1409,14,35,,59,2011,2024
23972182900,9-s2.0-23972182900,Gauri D.,Gauri,Dinesh Kumar,Sam M. Walton College of Business,60122800,1735,1507,22,47,,75,2008,2023
58546340500,9-s2.0-58546340500,Zenkić J.,Zenkić,Jay,Deakin University,60018805,0,0,0,3,,4,2023,2024
36956017900,9-s2.0-36956017900,Lei J.,Lei,Jing,Department of Management and Marketing,60118509,866,805,13,27,,42,2004,2023
10044466300,9-s2.0-10044466300,Millet K.,Millet,Kobe,Vrije Universiteit Amsterdam,60008734,685,568,16,34,,46,2005,2024
56072015000,9-s2.0-56072015000,Rotman J.,Rotman,Jeff D.,Deakin University,60018805,181,173,9,12,,24,2014,2024
55192466300,9-s2.0-55192466300,Castelo N.,Castelo,Noah,University of Alberta,60030835,647,626,7,9,,14,2019,2024
57221198397,9-s2.0-57221198397,Troll E.,Troll,Eve Sarah,"Universität Siegen, Department of Psychology",117566471,72,72,2,5,,7,2021,2024
57197747007,9-s2.0-57197747007,Frankenbach J.,Frankenbach,Julius,"Universität des Saarlandes, Department of Psychology",113455473,475,459,5,6,,11,2017,2023
12143724600,9-s2.0-12143724600,Friese M.,Friese,Malte,"Universität des Saarlandes, Department of Psychology",113455473,5784,4407,36,108,,657,2003,2024
36608662400,9-s2.0-36608662400,Loschelder D.,Loschelder,David D.,Leuphana Universität Lüneburg,60072202,1379,1097,19,54,,515,2010,2024
57223086515,9-s2.0-57223086515,Schanbacher A.,Schanbacher,Anja D.,"Drury University, Breech School of Business Administration",104251658,6,6,1,2,,3,2021,2023
8859057500,9-s2.0-8859057500,Faro D.,Faro,David,London Business School,60010057,405,375,9,16,,15,2005,2023
7006037840,9-s2.0-7006037840,Botti S.,Botti,Simona,London Business School,60010057,1932,1655,13,20,,37,2004,2023
56389657300,9-s2.0-56389657300,Garcia-Rada X.,Garcia-Rada,Ximena,Mays Business School,60138449,137,124,7,16,,23,2012,2024
35410157200,9-s2.0-35410157200,Norton M.,Norton,Michael I.,Harvard Business School,60019666,15733,13148,61,187,,252,1997,2024
56213416600,9-s2.0-56213416600,Ratner R.,Ratner,Rebecca K.,Robert H. Smith School of Business,60097292,2555,2213,21,28,,42,1996,2023
57204652898,9-s2.0-57204652898,Camilleri E.,Camilleri,Edwin,"The University of Newcastle, Australia",60010571,22,22,2,4,,3,2017,2023
8525891500,9-s2.0-8525891500,Garg N.,Garg,Nitika,UNSW Business School,60190890,856,768,13,22,,40,2005,2023
24178573200,9-s2.0-24178573200,Jahan Miah S.,Jahan Miah,Shah Jahan,Newcastle Business School,60180326,1854,1517,22,154,,129,2006,2024
55522622500,9-s2.0-55522622500,DeMotta Y.,DeMotta,Yoshiko,Fairleigh Dickinson University,60028728,140,139,5,7,,7,2013,2023
55550239000,9-s2.0-55550239000,Janssen C.,Janssen,Catherine,Solvay Brussels School of Economics and Management,60211750,408,376,6,10,,13,2014,2023
7403696644,9-s2.0-7403696644,Sen S.,Sen,Sankar,Baruch College,60030528,15426,10900,32,61,,67,1996,2024
55863186600,9-s2.0-55863186600,Lee H.,Lee,Hyunjung Crystal,The University of Texas at Austin,60013372,267,240,5,6,,16,2013,2024
6603049704,9-s2.0-6603049704,Broniarczyk S.,Broniarczyk,Susan M.,McCombs School of Business,60116471,2070,1827,23,30,,42,1994,2024
57841519400,9-s2.0-57841519400,Zheng J.,Zheng,Jianqing,McCombs School of Business,60116471,7,7,1,2,,3,2023,2024
7402808087,9-s2.0-7402808087,White K.,White,Katherine,The University of British Columbia,60010365,5588,4577,32,62,,497,2004,2024
59233125100,9-s2.0-59233125100,Wang W.,Wang,William,The University of British Columbia,60010365,0,0,0,1,,2,2024,2024
7003721660,9-s2.0-7003721660,Aquino K.,Aquino,Karl F.,UBC Sauder School of Business,60019169,14292,9757,56,109,,182,1992,2024
57217003727,9-s2.0-57217003727,Bentley K.,Bentley,Kara,"Chapman University, Argyros School of Business and Economics",103853537,71,71,4,5,,9,2020,2024
13004193800,9-s2.0-13004193800,Rajagopal P.,Rajagopal,Priyali,University of North Texas,60024438,400,397,9,16,,26,2006,2024
56102577500,9-s2.0-56102577500,Kulow K.,Kulow,Katina,"University of Louisville, College of Business",113545205,112,110,6,11,,11,2014,2024
25923482000,9-s2.0-25923482000,Shteynberg G.,Shteynberg,Garriy,"The University of Tennessee, Knoxville, Department of Psychology",103804413,1348,990,17,31,,73,2009,2024
57246269700,9-s2.0-57246269700,Liu J.,Liu,Jingshi,"Bayes Business School, City University of London, Faculty of Management",104021669,17,17,2,4,,7,2021,2024
57207107554,9-s2.0-57207107554,Wakeman S.,Wakeman,S. Wiley,Handelshögskolan i Stockholm,60021562,42,42,3,4,,7,2019,2024
23391522800,9-s2.0-23391522800,Zemack-Rugar Y.,Zemack-Rugar,Yael,University of Central Florida,60022144,320,306,6,10,,10,2007,2024
59218989700,9-s2.0-59218989700,Boman L.,Boman,Laura,Kennesaw State,128244526,0,0,0,1,,2,2024,2024
57213929153,9-s2.0-57213929153,Kramer T.,Kramer,Thomas,"University of California, Riverside",60029526,1528,1379,19,40,,44,2004,2024
59175644900,9-s2.0-59175644900,Mishra N.,Mishra,Nirajana,D'Amore-McKim School of Business,60116407,0,0,0,1,,2,2024,2024
55090196000,9-s2.0-55090196000,Garbinsky E.,Garbinsky,Emily N.,Cornell University,60007776,971,950,9,14,,17,2012,2024
34873522600,9-s2.0-34873522600,Shu S.,Shu,Suzanne B.,Dyson School of Applied Economics and Management,113710810,2443,2097,19,45,,115,2007,2024
59150556000,9-s2.0-59150556000,Yang L.,Yang,Linyun W.,Darla Moore School of Business,60028089,0,0,0,1,,1,2024,2024
36740203200,9-s2.0-36740203200,Aggarwal P.,Aggarwal,Pankaj,"University of Toronto, Department of Management",113662742,2591,2023,14,24,,18,2004,2024
57224354798,9-s2.0-57224354798,Fulmer A.,Fulmer,Alexander Goldklank,Cornell University,60007776,7,7,2,6,,3,2021,2024
49461699800,9-s2.0-49461699800,Reich T.,Reich,Taly,Yale School of Management,60001308,470,440,11,22,,25,2011,2024
57215496437,9-s2.0-57215496437,Schumacher A.,Schumacher,Anika,"Grenoble Ecole de Management, Department of Marketing",100288567,4,4,1,5,,5,2020,2024
22833937700,9-s2.0-22833937700,Goukens C.,Goukens,Caroline,Universiteit Maastricht,60018869,396,375,9,17,,172,2007,2024
25641385900,9-s2.0-25641385900,Geyskens K.,Geyskens,Kelly,Universiteit Maastricht,60018869,442,402,8,18,,178,2007,2024
35316422500,9-s2.0-35316422500,Nielsen J.,Nielsen,Jesper H.,"Eller College of Management, Department of Marketing",123881368,365,355,8,11,,28,2009,2024
57189006671,9-s2.0-57189006671,Hock S.,Hock,Stefan J.,University of Connecticut,60022659,206,196,7,11,,10,2016,2024
54797407000,9-s2.0-54797407000,Ferguson K.,Ferguson,Kristen A.,University of Notre Dame,60021508,78,78,6,12,,11,2010,2024
35769257200,9-s2.0-35769257200,Herd K.,Herd,Kelly B.,University of Connecticut,60022659,338,304,6,13,,17,2009,2024
55248431400,9-s2.0-55248431400,Yang H.,Yang,Haiyang,Johns Hopkins Carey Business School,60122540,415,405,6,18,,17,2015,2024
